Fecha,Departamento,Municipio,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,CLASE,MARCA,LINEA,MODELO,COLOR,Cantidad
01/01/2016 12:00:00 AM,ANTIOQUIA,ENVIGADO,Viernes,12/31/1899 01:30:00 AM,MESA,URBANA,FRENTE A EDIFICIO - VIA PUBLICA,LLAVE MAESTRA,A PIE,A PIE,53,FEMENINO,SOLTERO,COLOMBIA,NO REPORTA,ADMINISTRADOR DE EMPRESAS,SUPERIOR,5266000,AUTOMOVIL,CHEVROLET,CRUZE,2013,NEGRO,1
01/01/2016 12:00:00 AM,ATLÁNTICO,BARRANQUILLA (CT),Viernes,12/31/1899 04:00:00 PM,ALTOS DEL LIMON,URBANA,CONJUNTO RESIDENCIAL,LLAVE MAESTRA,A PIE,A PIE,33,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,PSICOLOGO,SUPERIOR,8001000,AUTOMOVIL,NISSAN,VERSA,2013,GRIS,1
01/01/2016 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,12/31/1899 06:00:00 PM,LA CABAÑA E-9,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,57,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,11001000,CAMIONETA,FORD,F 150 FLARESIDE XL,1993,BLANCO,1
01/01/2016 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,12/31/1899 02:30:00 AM,LA FAENA E-10,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,45,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,11001000,CAMIONETA,CHEVROLET,LUV TFS,2004,BLANCO,1
01/01/2016 12:00:00 AM,GUAJIRA,MAICAO,Viernes,12/31/1899 08:55:00 AM,CENTRO,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,39,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,44430000,AUTOMOVIL,CHANA,BENNI SC,2012,AMARILLO,1
01/01/2016 12:00:00 AM,PUTUMAYO,VALLE DEL GUAMUEZ,Viernes,12/31/1899 01:00:00 AM,VDA. EL CHARCO DEL AMOR,RURAL,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,36,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,86865000,AUTOMOVIL,CHEVROLET,SAMURAI HARD TOP,1996,BLANCO,1
01/01/2016 12:00:00 AM,SANTANDER,BUCARAMANGA (CT),Viernes,12/31/1899 06:30:00 AM,CENTRO,URBANA,PARQUEADERO,SIN EMPLEO DE ARMAS,A PIE,-,38,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,68001000,AUTOMOVIL,MAZDA,3,2005,PLATEADO,1
01/01/2016 12:00:00 AM,VALLE,CALI (CT),Viernes,12/31/1899 10:00:00 PM,COLSEGUROS ANDES E10,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,50,MASCULINO,DIVORCIADO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,76001000,AUTOMOVIL,CHEVROLET,CRUZE,2011,PLATEADO,1
01/01/2016 12:00:00 AM,VALLE,CALI (CT),Viernes,12/31/1899 09:00:00 AM,VILLA DEL PRADO - EL GUABITO E5,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,LLAVE MAESTRA,A PIE,A PIE,54,MASCULINO,UNION LIBRE,COLOMBIA,COMERCIANTE,-,SECUNDARIA,76001000,CAMIONETA,CHEVROLET,LUV TFR,1994,BLANCO,1
01/01/2016 12:00:00 AM,VALLE,CALI (CT),Viernes,12/31/1899 04:00:00 AM,URBANIZACION CALIMIO E6,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,LLAVE MAESTRA,A PIE,A PIE,28,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SUPERIOR,76001000,AUTOMOVIL,MAZDA,323 NB,1996,VERDE,1
01/01/2016 12:00:00 AM,VALLE,CALI (CT),Viernes,12/31/1899 11:15:00 AM,CIUDADELA CONFANDI E17,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,25,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,76001000,AUTOMOVIL,MAZDA,323 NS,1988,ABANO,1
01/02/2016 12:00:00 AM,ANTIOQUIA,OLAYA,Sábado,12/31/1899 04:30:00 PM,LA SERRANIA,RURAL,FINCAS Y SIMILARES,LLAVE MAESTRA,CONDUCTOR VEHICULO,-,58,MASCULINO,CASADO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,5501000,NIVELADORA,INTERNATIONAL,1703,1992,AMARILLO Y NEGRO,1
01/02/2016 12:00:00 AM,CESAR,BECERRIL,Sábado,12/31/1899 12:00:00 PM,CENTRO,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,28,MASCULINO,SOLTERO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,20045000,AUTOMOVIL,MAZDA,ALLEGRO,1999,AZUL,1
01/02/2016 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,12/31/1899 06:30:00 PM,MANDALAY I ETAPA E-8,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,44,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,11001000,CAMIONETA,MAZDA,B 2000,1988,BLANCO,1
01/02/2016 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,12/31/1899 05:30:00 PM,VILLA CLAUDIA E-8,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,51,MASCULINO,CASADO,COLOMBIA,INDEPENDIENTE,TECNOLOGO DE SISTEMAS,TECNOLOGO,11001000,CAMIONETA,CHEVROLET,LUV,1996,BLANCO,1
01/02/2016 12:00:00 AM,NARIÑO,IPIALES,Sábado,12/31/1899 03:30:00 PM,CHAMPAGTH,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,45,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,52356000,AUTOMOVIL,CHEVROLET,SWIFT GTI,1994,ROJO,1
01/02/2016 12:00:00 AM,TOLIMA,ESPINAL,Sábado,12/31/1899 06:30:00 PM,VEREDA SAN LUIS,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR BUS,A PIE,42,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,73268000,BUS EJECUTIVO,CHEVROLET,FRR,2012,ROJO-VERDE,1
01/02/2016 12:00:00 AM,VALLE,CALI (CT),Sábado,12/31/1899 09:00:00 PM,SAN ANTONIO E3,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,29,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SUPERIOR,76001000,AUTOMOVIL,NISSAN,SENTRA B13,2010,GRIS,1
01/03/2016 12:00:00 AM,ANTIOQUIA,BELLO,Domingo,12/31/1899 10:00:00 PM,AUTOPISTA MED BOGOTA,RURAL,VIAS PUBLICAS,CONTUNDENTES,A PIE,CONDUCTOR VEHICULO,62,FEMENINO,SOLTERO,COLOMBIA,AMA DE CASA,-,SECUNDARIA,5088000,AUTOMOVIL,RENAULT,SANDERO,2012,NEGRO,1
01/03/2016 12:00:00 AM,ANTIOQUIA,EL BAGRE,Domingo,12/31/1899 10:30:00 AM,VILLA ACURU,RURAL,FINCAS Y SIMILARES,LLAVE MAESTRA,A PIE,-,32,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SUPERIOR,5250000,RETROEXCAVADORA,ISUZU,LINEA STANDARD,2010,AZUL,1
01/03/2016 12:00:00 AM,ANTIOQUIA,GIRARDOTA,Domingo,12/31/1899 12:00:00 AM,MONTECARLO,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,LLAVE MAESTRA,A PIE,A PIE,33,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,5308000,AUTOMOVIL,RENAULT,R 9 GTS,1985,AZUL,1
01/09/2016 12:00:00 AM,HUILA,TESALIA,Sábado,12/31/1899 09:00:00 PM,VEREDA EL CENTRO,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,43,FEMENINO,CASADO,COLOMBIA,AMA DE CASA,-,SECUNDARIA,41797000,CAMION,CHEVROLET,NPR,1998,ROJO,1
01/03/2016 12:00:00 AM,ATLÁNTICO,BARRANQUILLA (CT),Domingo,12/31/1899 08:30:00 PM,CEVILLAR,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,CONDUCTOR VEHICULO,28,MASCULINO,SOLTERO,COLOMBIA,NO REPORTA,-,SUPERIOR,8001000,CAMIONETA,HYUNDAI,TUCSON iX35 GL,2012,PLATA,1
01/03/2016 12:00:00 AM,CALDAS,MANIZALES (CT),Domingo,12/31/1899 02:00:00 AM,PERALONSO,URBANA,VIAS PUBLICAS,ESCOPOLAMINA,A PIE,A PIE,34,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,17001000,AUTOMOVIL,CHEVROLET,SPRINT,1989,NEGRO GRAFITO,1
01/03/2016 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,12/31/1899 08:00:00 PM,MODELIA E-9,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,28,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PUBLICO,ADMINISTRADOR DE EMPRESAS,SUPERIOR,11001000,AUTOMOVIL,CHEVROLET,SPARK,2016,ROJO,1
01/03/2016 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,12/31/1899 12:00:00 AM,ALCALÁ E-16,URBANA,CASAS DE HABITACION,LLAVE MAESTRA,A PIE,A PIE,35,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,11001000,AUTOMOVIL,CITROEN,BERLINGO,2008,BLANCO,1
